#Data of CPU Clock Frequency
#Sr No	CPU Speed
1116	2200125
1117	2193250
1118	2194875
1119	2200125
1120	2200125
1121	2200000
1122	2187000
1123	2200125
1124	2200000
1125	2267875
1126	2200000
1127	2228250
1128	2200125
1129	2200375
1130	2200375
1131	2200000
1132	2200125
1133	2180125
1134	2179125
1135	2152625
1136	2167750
1137	2187250
1138	2200125
1139	2200125
1140	2200000
1141	2200250
1142	2200000
1143	2200000
1144	2200000
1145	2195125
1146	2190750
1147	2200375
1148	2200250
1149	2225875
1150	2248000
1151	2220125
1152	2251250
1153	2267875
1154	2286250
1155	2268500
1156	2244000
1157	2263250
1158	2272250
1159	2212500
1160	2227250
1161	2240750
1162	2253000
1163	2300000
1164	2207000
1165	2295875
1166	2300000
1167	2300125
1168	2288500
1169	2283625
1170	2300000
1171	2289875
1172	2300000
1173	2300000
1174	2299000
1175	2264625
1176	2294625
1177	2281250
1178	2300000
1179	2285500
1180	2205625
1181	2249500
1182	2300125
1183	2282000
1184	2289750
1185	2291500
1186	2255875
1187	2293125
1188	2234375
1189	2210500
1190	2290250
1191	2270125
1192	2285000
1193	2252375
1194	2207875
1195	2292625
1196	2210250
1197	2242375
1198	2237000
1199	2282500
1200	2215750
1201	2300125
1202	2303625
1203	2260750
1204	2276750
1205	2237750
1206	2240625
1207	2272375
1208	2266875
1209	2235125
1210	2270000
1211	2203750
1212	2299875
1213	2267375
1214	2267125
1215	2286375
1216	2256750
1217	2225625
1218	2300125
1219	2278625
1220	2253125
1221	2240500
1222	2250750
1223	2267625
1224	2298000
1225	2205125
1226	2265625
1227	2269375
1228	2283625
1229	2296375
1230	2241500
1231	2210250
1232	2266500
1233	2221750
1234	2258250
1235	2267250
1236	2212875
1237	2246750
1238	2237875
1239	2271250
1240	2252750
1241	2287750
1242	2257250
1243	2300000
1244	2300000
1245	2299875
1246	2258000
1247	2269875
1248	2200250
1249	2212625
1250	2228000
1251	2299875
1252	2300000
1253	2300125
1254	2300000
1255	2244500
1256	2268750
1257	2300000
1258	2300000
1259	2300000
1260	2304250
1261	2323250
1262	2298875
1263	2257250
1264	2266500
1265	2228125
1266	2271500
1267	2212125
1268	2283625
1269	2300000
1270	2264250
1271	2284750
1272	2300000
1273	2276375
1274	2257500
1275	2281125
1276	2216625
1277	2275125
1278	2227125
1279	2218375
1280	2273125
1281	2267000
1282	2293250
1283	2265375
1284	2290750
1285	2259125
1286	2279125
1287	2230125
1288	2240625
1289	1986125
1290	2246250
1291	2287125
1292	2271375
1293	2240750
1294	2285500
1295	2283000
1296	2248625
1297	2246625
1298	2228375
1299	2297125
1300	2200125
1301	2212500
1302	2259500
1303	2266875
1304	2281750
1305	2273625
1306	2245250
1307	2291375
1308	2234250
1309	2212625
1310	2300000
1311	2230875
1312	2200125
1313	2240375
1314	2239125
1315	2205500
1316	2272500
1317	2228250
1318	2266750
1319	2262000
1320	2300250
1321	2284875
1322	2206750
1323	2236875
1324	2272000
1325	2283500
1326	2275500
1327	2254375
1328	2256750
1329	2200000
1330	2248750
1331	2300125
1332	2275000
1333	2300125
1334	2233250
1335	2257625
1336	2299875
1337	2228125
1338	2229375
1339	2241250
1340	2299875
1341	2300125
1342	2279000
1343	2300125
1344	2138750
1345	2300000
1346	2268750
1347	2250750
1348	2296875
1349	2300000
1350	2238375
1351	2253500
1352	2300250
1353	2312625
1354	2300125
1355	2299875
1356	2386375
1357	2300000
1358	2300000
1359	2300000
1360	2300000
1361	2320250
1362	2300000
1363	2300000
1364	2318000
1365	2300000
1366	2213625
1367	2300125
1368	2300000
1369	2222875
1370	2290875
1371	2283625
1372	2300000
1373	2276875
1374	2277500
1375	2300125
1376	2300000
1377	2300000
1378	2269500
1379	2300000
1380	2273500
1381	2243250
1382	2255500
1383	2300000
1384	2280375
1385	2302125
1386	2295125
1387	2284750
1388	2300125
1389	2286500
1390	2300000
1391	2300000
1392	2294625
1393	2295125
1394	2285125
1395	2241750
1396	2248750
1397	2300125
1398	2231875
1399	2286500
1400	2300125
1401	2300125
1402	2268000
1403	2273625
1404	2272000
1405	2258125
1406	2299875
1407	2300125
1408	2300000
1409	2288000
1410	2299250
1411	2310125
1412	2313250
1413	2312875
1414	2300000
1415	2308875
1416	2307500
1417	2196500
1418	2282125
1419	2284625
1420	2253000
1421	2220875
1422	2287250
1423	2214625
1424	2300125
1425	2218750
1426	2264250
1427	2259250
1428	2289625
1429	2245250
1430	2288500
1431	2268500
1432	2299875
1433	2300000
1434	2300125
1435	2300000
1436	2300125
1437	2258000
1438	2199875
1439	2256000
1440	2286125
1441	2231500
1442	2236625
1443	2300000
1444	2212500
1445	2300000
1446	2320875
1447	2379125
1448	2300125
1449	2317875
1450	2300250
1451	2300125
1452	2328000
1453	2299875
1454	2271500
1455	2300375
1456	2277625
1457	2278625
1458	2265625
1459	2283500
1460	2300000
1461	2299875
1462	2299875
1463	2268500
1464	2300000
1465	2300000
1466	2273750
1467	2242625
1468	2267625
1469	2270500
1470	2212125
1471	2200250
1472	2200000
1473	2261500
1474	2235000
1475	2249375
1476	2267375
1477	2276250
1478	2266375
1479	2291250
1480	2242875
1481	2286625
1482	2224875
1483	2300000
1484	2287250
1485	2293125
1486	2299875
1487	2286500
1488	2299875
1489	2260000
1490	2217500
1491	2270375
1492	2259375
1493	2271000
1494	2300000
1495	2300125
1496	2300125
1497	2300250
1498	2300125
1499	2249750
1500	2300000
1501	2299875
1502	2295000
1503	2284500
1504	2283875
1505	2286500
1506	2277375
1507	2238875
1508	2300000
1509	2300125
1510	2255500
1511	2300000
1512	2224500
1513	2312750
1514	2234875
1515	2299875
1516	2299875
1517	2000125
1518	2291000
1519	2212000
1520	2299875
1521	2288875
1522	2286125
1523	2242625
1524	2218250
1525	2244375
1526	2206500
1527	2222125
1528	2200125
1529	2213250
1530	2290000
1531	2212750
1532	2200125
1533	2249000
1534	2200125
1535	2206250
1536	2255750
1537	2299750
1538	2199750
1539	2228875
1540	2216375
1541	2219875
1542	2245750
1543	2272000
1544	2231125
1545	2277250
1546	2266125
1547	2261250
1548	2215250
1549	2300750
1550	2260000
1551	2265250
1552	2207125
1553	2237750
1554	2276375
1555	2220375
1556	2277125
1557	2246875
1558	2269375
1559	2265625
1560	2224500
1561	2299875
1562	2278250
1563	2000000
1564	2200250
1565	2200625
1566	2251875
1567	2200625
1568	2202875
1569	2253875
1570	2240250
1571	2275750
1572	2252250
1573	2253375
1574	2273375
1575	2259625
1576	2200000
1577	2230875
1578	2200125
1579	2200250
1580	2200125
1581	2199875
1582	2200250
1583	2222375
1584	2200250
1585	2200125
1586	2200125
1587	2199875
1588	2200000
1589	2200125
1590	2200125
1591	2200250
1592	2200375
1593	2200125
1594	2200250
1595	2200125
1596	2199875
1597	2200250
1598	2219375
1599	1930875
1600	2199750
1601	2192500
1602	2200125
1603	2196500
1604	2189000
1605	2199875
1606	2193500
1607	2200125
1608	2200250
1609	2199875
1610	2200000
1611	2200125
1612	2181750
1613	2193125
1614	2200000
1615	2100125
1616	2174375
1617	2172375
1618	2181875
1619	2156250
1620	2163250
1621	2170000
1622	2200000
1623	2170000
1624	1970750
1625	2100000
1626	2200500
1627	2200250
1628	2200500
1629	2211750
1630	2200250
1631	2260125
1632	2200000
1633	2200000
1634	1954875
1635	2299875
1636	2210000
1637	2240250
1638	2280750
1639	2300000
1640	2100000
1641	2286750
1642	2000125
1643	1910000
1644	2000125
1645	1989750
1646	2000250
